Min. of Health,Arsen TOROSYAN,#NAME?
Min. of Justice,Artak ZEYNALYAN,#NAME?
Min. of Labor & Social Affairs,Mane TANDILYAN,#NAME?
Min. of Nature Protection,Erik GRIGORYAN,#NAME?
Min. of Sport & Youth Affairs,Levon VAHRADYAN,#NAME?
Min. of Territorial Admin. & Development,Suren PAPIKYAN,#NAME?
Min. of Transport & Communication,Ashot HAKOBYAN,#NAME?
"Chmn., Central Bank of Armenia",Artur JAVADIAN,#NAME?
Ambassador to the US,Varuzhan NERSESSYAN,#NAME?
"Permanent Representative to the UN, New York",,#NAME?
,Aruba,Aruba
,Last Updated:,Last Updated:
Governor,Fredis REFUNJOL,#NAME?
Prime Min.,Michiel Godfried EMAN,#NAME?
Min. of Culture,Michelle HOOYBOER-WINKLAAR,#NAME?
Min. of Finance & Economic Affairs,Mike DE MEZA,#NAME?
Min. of Infrastructure,Benny SEVINGER,#NAME?
Min. of Justice & Education,Arthur DOWERS,#NAME?
Min. of Public Health & Sport,Richard VISSER,#NAME?
"Min. of Tourism, Transportation, & Labor",Otmar ODUBER,#NAME?
Attorney Gen.,Taco STEIN,#NAME?
"Pres., Central Bank",J. R. SEMELEER,#NAME?
,Australia,Australia
,Last Updated:  31 Aug 2018,Last Updated:  31 Aug 2018
Governor Gen.,Peter John COSGROVE,#NAME?
Prime Min.,Scott MORRISON,#NAME?
Dep. Prime Min.,Michael MCCORMACK,#NAME?
"Min. for Aged Care, Senior Australians, & Indigenous Health",Ken WYATT,#NAME?
Min. for Agriculture & Water Resources,David LITTLEPROUD,#NAME?
Min. for the Arts,"Mitchell Peter ""Mitch"" FIFIELD",#NAME?
"Min. for Cities, Urban Infrastructure, & for Population",Alan TUDGE,#NAME?
Min. for Communications,"Mitchell Peter ""Mitch"" FIFIELD",#NAME?
Min. for Defense,Christopher PYNE,#NAME?
Min. for Defense Industry,Steven CIOBO,#NAME?
Min. for Digital Transformation,Michael KEENAN,#NAME?
Min. for Education,Dan TEHAN,#NAME?
Min. for Energy,Angus TAYLOR,#NAME?
Min. for the Environment,Melissa PRICE,#NAME?
Min. for Families & Social Services,Paul FLETCHER,#NAME?
Min. for Finance,Mathias Hubert Paul CORMANN,#NAME?
Min. for Foreign Affairs,Marise PAYNE,#NAME?
Min. for Health,Gregory Andrew HUNT,#NAME?
Min. for Home Affairs,Peter Craig DUTTON,#NAME?
Min. for Human Services,Michael KEENAN,#NAME?
"Min. for Immigration, Citizenship, & Multicultural Affairs",David COLEMAN,#NAME?
Min. for Indigenous Affairs,Nigel Gregory SCULLION,#NAME?
Min. for Industrial Relations,Kelly O'DWYER,#NAME?
"Min. for Industry, Science, & Technology",Karen ANDREWS,#NAME?
Min. for Infrastructure,Michael MCCORMACK,#NAME?
Min. for Jobs,Kelly O'DWYER,#NAME?
Min. for Local Govt. & for Decentralization,Bridget MCKENZIE,#NAME?
Min. for Public Service,Mathius CORMANN,#NAME?
Min. for Regional Development,Michael MCCORMACK,#NAME?
Min. for Regional Services,Bridget MCKENZIE,#NAME?
Min. for Resources & Northern Australia,Matt CANAVAN,#NAME?
Min. for Skills & Vocational Training,Michaelia CASH,#NAME?
Min. for Small & Family Business,Michaelia CASH,#NAME?
Min. for Sport,Bridget MCKENZIE,#NAME?
"Min. for Trade, Investment, & Tourism",Simon BIRMINGHAM,#NAME?
Min. for Transport,Michael MCCORMACK,#NAME?
Min. for Women,Kelly O'DWYER,#NAME?
Treasurer,Josh FRYDENBERG,#NAME?
Attorney Gen.,Christian PORTER,#NAME?
"Governor, Reserve Bank of Australia",Glenn Robert STEVENS,#NAME?
Ambassador to the US,"Joseph ""Joe"" Benedict HOCKEY",#NAME?
Special Min. for State,Alex HAWKE,#NAME?
"Permanent Representative to the UN, New York",Gillian Elizabeth BIRD,#NAME?
"Chief of Staff, Prime Minister's Office",John KUNKEL,#NAME?
,Austria,Austria
,Last Updated:  24 Jan 2018,Last Updated:  24 Jan 2018
Pres.,Alexander VAN DER BELLEN,#NAME?
Chancellor,Sebastian KURZ,#NAME?
Vice Chancellor,Heinz-Christian STRACHE,#NAME?
"Min. for Constitutional Affairs, Reforms, Deregulation, & Justice",Josef MOSER,#NAME?
Min. for Defense,Mario KUNASEK,#NAME?
"Min. for Digitalization, Business, & Enterprise",Margarete SCHRAMBOECK,#NAME?
"Min. for Education, Science, & Research",Heinz FASSMANN,#NAME?
"Min. for Europe, Integration, & Foreign Affairs",Karin KNEISSL,#NAME?
Min. for Finance,Hartwig LOEGER,#NAME?
Min. for Interior,Herbert KICKL,#NAME?
"Min. for Labour, Social Affairs, Health, & Consumer Protection",Beate HARTINGER-KLEIN,#NAME?
Min. for Public Service & Sports,Heinz-Christian STRACHE,#NAME?
Min. for Sustainability & Tourism,Elisabeth KOESTINGER,#NAME?
"Min. for Transport, Innovation, & Technology",Norbert HOFER,#NAME?
"Min. Within the Chancellery for EU, Arts, Culture, & Media",Gernot BLUEMEL,#NAME?
"Min. Within the Chancellery for Families, Women, & Youth",Juliane BOGNER-STRAUSS,#NAME?
"Governor, Austrian National Bank",Ewald NOWOTNY,#NAME?
Ambassador to the US,Wolfgang WALDNER,#NAME?
"Permanent Representative to the UN, New York",Jan KICKERT,#NAME?
,Azerbaijan,Azerbaijan
,Last Updated:  22 Aug 2018,Last Updated:  22 Aug 2018
Pres.,Ilham ALIYEV,#NAME?
First Vice Pres.,Mehriban ALIYEVA,#NAME?
Prime Min.,Novruz MAMMADOV,#NAME?
First Dep. Prime Min.,Yaqub EYYUBOV,#NAME?
Dep. Prime Min.,Hajibala ABUTALIBOV,#NAME?
Dep. Prime Min.,Ali AKHMEDOV,#NAME?
Dep. Prime Min.,Ali HASANOV,#NAME?
Min. of Agriculture,Inam KARIMOV,#NAME?
Min. of Culture & Tourism,Abulfaz GARAYEV,#NAME?
Min. of Defense,"Zakir HASANOV, Col. Gen.",#NAME?
Min. of Defense Industry,,#NAME?
Min. of Ecology & Natural Resources,Mukhtar BABAYEV,#NAME?
Min. of Economy & Industry,Shahin MUSTAFAYEV,#NAME?
Min. of Education,Jeyhun BAYRAMOV,#NAME?
Min. of Emergency Situations,Kamaladdin HEYDAROV,#NAME?
Min. of Energy,Parviz SHAHBAZOV,#NAME?
Min. of Finance,Samir SHARIFOV,#NAME?
Min. of Foreign Affairs,Elmar MAMMADYAROV,#NAME?
Min. of Health,Oqtay SHIRALIYEV,#NAME?
Min. of Internal Affairs,"Ramil USUBOV, Col. Gen.",#NAME?
Min. of Justice,Fikret MAMEDOV,#NAME?
Min. of Labor & Social Protection of the Population,Sahil BABAYEV,#NAME?
Min. of Sports & Youth,Azad RAHIMOV,#NAME?
Min. of Taxation,Mikayil JABBAROV,#NAME?
"Min. of Transport, Communications, & High Technologies",Ramin GULUZADE,#NAME?
"Chmn., National Bank",Elman RUSTAMOV,#NAME?
Ambassador to the US,Elin SULEYMANOV,#NAME?
"Permanent Representative to the UN, New York",Yashar ALIYEV,#NAME?
,"Bahamas, The","Bahamas, The"
,Last Updated:  22 Aug 2018,Last Updated:  22 Aug 2018
Prime Min.,Hubert MINNIS,#NAME?
Dep. Prime Min.,Peter TURNQUEST,#NAME?
Min. of Agriculture & Marine Resources,Renward WELLS,#NAME?
Min. of Education,Jeffrey LLOYD,#NAME?
Min. of the Environment & Housing,Romauld FERREIRA,#NAME?
Min. of Finance,Peter TURNQUEST,#NAME?
"Min. of Financial Services, Investments, Trade, & Immigration",Brent SYMONETTE,#NAME?
Min. of Foreign Affairs,Darren HENFIELD,#NAME?
Min. of Health,Duane SANDS,#NAME?
Min. of Labor,Dion FOULKES,#NAME?
Min. of National Security,Marvin DAMES,#NAME?
Min. of Public Service & National Insurance,Brensil ROLLE,#NAME?
Min. of Social Services & Urban Development,Lanisha ROLLE,#NAME?
"Min. of Tourism, Aviation, & Bahamasair",Dionisio D'AGUILAR,#NAME?
Min. of Transport & Local Govt.,Frankie CAMPBELL,#NAME?
Min. of Works,Desmond BANNISTER,#NAME?
"Min. of Youth, Sports, & Culture",Michael PINTARD,#NAME?
Min. of State for Grand Bahama,James Kwasi THOMPSON,#NAME?
"Min. of State for Legal Affairs, Office of the Attorney General",Elsworth JOHNSON,#NAME?
"Governor, Central Bank",Wendy CRAIGG,#NAME?
Ambassador to the US,Sidney Stanley COLLIE,#NAME?
"Permanent Representative to the UN, New York",Sheila CAREY,#NAME?
,Bahrain,Bahrain
,Last Updated:  2 Aug 2017,Last Updated:  2 Aug 2017
King,HAMAD bin Isa Al Khalifa,#NAME?
Prime Min.,KHALIFA bin Salman Al Khalifa,#NAME?
First Dep. Prime Min.,SALMAN bin Hamad Al Khalifa,#NAME?
Dep. Prime Min.,ALI bin Khalifa bin Salman Al Khalifa,#NAME?
Dep. Prime Min.,Jawad bin Salim al-ARAIDH,#NAME?
Dep. Prime Min.,KHALID bin Abdallah Al Khalifa,#NAME?
Dep. Prime Min.,MUHAMMAD bin Mubarak Al Khalifa,#NAME?
Min. for Defense Affairs,Yusuf bin Ahmad bin Husayn al-JALAHMA,#NAME?
Min. of Education,Majid bin Ali Hasan al-NUAYMI,#NAME?
Min. of Energy,Abd al-Husayn MIRZA,#NAME?
Min. of Finance,AHMAD bin Muhammad bin Hamad bin Abdallah Al Khalifa,#NAME?
Min. of Foreign Affairs,KHALID bin Ahmad bin Muhammad Al Khalifa,#NAME?
Min. of Health,"FAYQA bint Said al-Salih, Dr.",#NAME?
Min. of Housing,Basim bin Yacub al-HAMAR,#NAME?
Min. of Human Rights & Social Development,"FAYQA bint Said al-Salih, Dr.",#NAME?
"Min. of Industry, Commerce, & Tourism",Zayid bin Rashid al-ZAYANI,#NAME?
Min. for Information Affairs,Ali bin Muhammad al-RUMAYHI,#NAME?
Min. of Interior,"RASHID bin Abdallah bin Ahmad Al Khalifa, Lt. Gen.",#NAME?
"Min. of Justice, Islamic Affairs, & Endowment",KHALID bin Ali Al Khalifa,#NAME?
Min. of Labor & Social Development,Jamil Muhammad Ali HUMAYDAN,#NAME?
Min. of the Royal Court,KHALID bin Ahmad bin Salman Al Khalifa,#NAME?
Min. of the Royal Court for Follow-Up Affairs,AHMAD BIN ATIYATALLAH Al Khalifa,#NAME?
Min. of Royal Court Affairs,ALI bin Isa bin Salman Al Khalifa,#NAME?
Min. for Shura Council and House of Representative Affairs,Ghanim bin Fadhil al-BUAYNAYN,#NAME?
Min. of Transportation & Telecommunication,KAMAL bin Ahmad Muhammad,#NAME?
"Min. of Works, Municipal Affairs, & Urban Planning",ISSAM bin Abdallah Khalaf,#NAME?
Attorney Gen.,ALI bin Fadhil al-Buaynayn,#NAME?
"Governor, Central Bank of Bahrain",Rashid bin Muhammad al-MARAJ,#NAME?
Ambassador to the US,Abdulla bin Rashid AL KHALIFA,#NAME?
"Permanent Representative to the UN, New York",Jamal Faris al-RUWAYI,#NAME?
,Bangladesh,Bangladesh
,Last Updated:  22 Sep 2014,Last Updated:  22 Sep 2014
Pres.,Abdul HAMID,#NAME?
Prime Min.,Sheikh HASINA,#NAME?
Min. of Agriculture,Matia CHOWDHURY,#NAME?
Min. of Civil Aviation & Tourism,Rashed Khan MENON,#NAME?
Min. of Commerce,Tofail AHMED,#NAME?
Min. of Cultural Affairs,Asaduzzaman NOOR,#NAME?
Min. of Defense,Sheikh HASINA,#NAME?
Min. of Disaster Management & Relief,Mofazzal Hossain Chowdhury MAYA,#NAME?
Min. of Education,Nurul Islam NAHID,#NAME?
Min. of Environment & Forest,Anwar Hossain MONJU,#NAME?
Min. of Expatriates' Welfare & Overseas Employment,Nurul ISLAM,#NAME?
Min. of Finance,Abu Maal Abdul MUHITH,#NAME?
Min. of Fisheries & Livestock,Sayedul HAQUE,#NAME?
Min. of Food,Qamrul ISLAM,#NAME?
Min. of Foreign Affairs,A. H. Mahmood ALI,#NAME?
